Данные из телефонного справочника в фаиле Phonebook.csv!

1,Петров,Иван,89604567834,Очень весёлый человек

2,Сидоров,Пётр,89546782345,Завскладом

3,Заноха,Вера,89152345674,знакомая Васи


Данные из телефонного справочника в фаиле Phonebook.txt!

№ 1
Фамилия: Петров
Имя: Иван
Номер телефона: 89604567834
Описание: Очень весёлый человек


№ 2
Фамилия: Сидоров
Имя: Пётр
Номер телефона: 89546782345
Описание: Завскладом


№ 3
Фамилия: Заноха
Имя: Вера
Номер телефона: 89152345674
Описание: знакомая Васи


